"ht" "g"
"1" 70.2541225416525 "0"
"2" 65.5654905209033 "0"
"3" 69.9381893760658 "1"
"4" 65.7967570339261 "0"
"5" 60.7773469153935 "1"
"6" 64.9697234826992 "0"
"7" 60.4354615528361 "0"
"8" 65.9876257921277 "0"
"9" 55.7704730853142 "0"
"10" 67.2579458434899 "0"
"11" 55.3697452026657 "0"
"12" 72.0216356576143 "1"
"13" 73.0465206938259 "0"
"14" 62.7595674999986 "1"
"15" 76.8887078265261 "1"
"16" 64.2526635067995 "0"
"17" 67.9702474224036 "0"
"18" 72.4565210790589 "1"
"19" 58.3158856498429 "0"
"20" 74.3653208230696 "1"
"21" 52.680171539972 "1"
"22" 61.0008226576701 "0"
"23" 68.0210798858544 "0"
"24" 64.1737531055673 "0"
"25" 52.0127793775887 "0"
"26" 68.8433201297784 "0"
"27" 62.4721189569881 "0"
"28" 70.5752090725489 "1"
"29" 59.9016628297608 "0"
"30" 64.5651041349824 "0"
"31" 58.5586005182701 "0"
"32" 62.1704647448037 "0"
"33" 75.1608289182539 "0"
"34" 74.9279403548197 "1"
"35" 61.8865906124666 "0"
"36" 60.6799888922318 "0"
"37" 58.4722518416443 "0"
"38" 74.1911535645841 "1"
"39" 72.16653565285 "0"
"40" 68.3246033229763 "0"
"41" 65.7681555271183 "1"
"42" 62.6022427991108 "1"
"43" 69.304713819538 "0"
"44" 69.8640393390969 "0"
"45" 59.5922462583721 "1"
"46" 73.2258624284093 "0"
"47" 57.8197315112161 "1"
"48" 61.7606624827208 "0"
"49" 72.4472897201802 "0"
"50" 68.3168805272166 "0"
"51" 76.9469673861978 "0"
"52" 70.8182166399004 "0"
"53" 68.0362989042481 "0"
"54" 72.7788040304288 "0"
"55" 67.2492895527742 "1"
"56" 68.8791487404853 "0"
"57" 58.6187128459689 "1"
"58" 64.2240884861022 "0"
"59" 66.3261994975345 "0"
"60" 62.3143485733751 "1"
"61" 70.5861102560188 "1"
"62" 62.8503134276929 "0"
"63" 52.9159409979139 "0"
"64" 66.1057492573312 "0"
"65" 51.9621153543001 "0"
"66" 63.9186722671244 "0"
"67" 70.6469495013779 "0"
"68" 54.2735913500994 "0"
"69" 60.1741470956739 "0"
"70" 68.1581497316257 "0"
"71" 68.2682844322356 "1"
"72" 63.1692104412841 "1"
"73" 55.9137353742333 "0"
"74" 68.1598111501167 "0"
"75" 56.8460698187309 "1"
"76" 59.1302573321672 "1"
"77" 66.8840603311607 "1"
"78" 55.8113469900912 "0"
"79" 69.9607258275862 "0"
"80" 73.1145115966122 "1"
"81" 66.3940215808573 "1"
"82" 52.7271979707306 "1"
