"x" "y"
"1" 2.32673657203196 4.13467735958666
"2" 7.56291448771326 6.73079885021402
"3" 3.80406036312424 4.61502133780793
"4" 1.45090057196323 3.23727124453376
"5" 4.02961053562565 5.46263626682514
"6" 4.22269717764176 5.98748474360983
"7" 3.07842634978189 6.25602055015628
"8" 3.99929295230682 5.24391956100676
"9" 4.40886797958487 4.88170505287619
"10" 3.33210929188468 6.65228246848763
"11" 4.44826991478707 4.67218898862264
"12" 2.91594634941692 6.21015211731165
"13" 5.1269546808485 5.52156841255338
"14" 2.36637196043521 4.98126448983364
"15" 2.31904634447089 3.77209191807099
"16" 4.27562713307148 5.2928548134634
"17" 4.4413261579499 4.16492429296924
"18" 5.55706041474662 4.52843417405039
"19" 2.13495343759944 3.80252577999269
"20" 2.87882698720723 4.04357817798465
"21" 2.09076736959882 3.45718960255151
"22" 3.05942740813795 4.23423044046419
"23" 3.09058777075919 5.40902744157172
"24" 8.94379326235357 7.74514812016581
"25" 3.58539351590845 4.98913280637499
"26" 1.97373635238034 3.77090279018887
"27" 2.08986738849922 3.59647974149851
"28" 4.09571686815876 4.927245982646
"29" 2.45195904058478 4.69984377685234
"30" 2.04988146786571 3.97473529393416
"31" 2.07398738108434 1.40143286348198
"32" 1.46768091438694 3.20365079629189
"33" 11.8966048213412 7.86188254131444
"34" 3.62415673740937 4.94769503664787
"35" 5.39659068898787 7.25600881387318
"36" 3.76710802480637 4.1390277104635
"37" 2.27173806626323 3.96885413146897
"38" 1.87076738698132 2.86527587483065
"39" 2.51861964920721 4.70878809972545
"40" 3.77413628599041 5.75858124738009
"41" 3.20002149783759 5.82594559871589
"42" 2.88712128987769 3.75334272507494
"43" 1.88329867023399 4.12223969008839
"44" 6.73071272246897 6.13532732575574
"45" 2.00989783725473 4.27846259529501
"46" 3.0841277122985 5.72174575928419
"47" 1.75883154983223 4.09174704521388
"48" 2.84644024786869 5.30535768500146
"49" 4.60314115769009 5.10115451344499
"50" 4.03814752121063 5.47786675474996
"51" 2.72720190084108 4.04652826874762
"52" 6.20824010539273 6.74483129576482
"53" 2.6210102792722 4.04469535297835
"54" 1.85798592657836 2.66905925723017
"55" 2.23710828334721 3.82746077023464
"56" 1.81003305379259 3.66248785678034
"57" 6.30619180863195 7.25285740363365
"58" 4.43390965992806 4.86590109202458
"59" 1.90343774453105 3.79105775346935
"60" 2.10668020428131 3.88996906911345
"61" 4.59757705146735 5.63631785684111
"62" 1.58140555916137 4.26044889325791
"63" 3.07587323207552 5.97037475080225
"64" 3.50216022332149 5.02392579620207
"65" 2.95008050672235 5.52415963543601
"66" 2.93271459220922 4.97539185115756
"67" 4.37074063331225 5.71542877922959
"68" 2.08832521059532 3.6441645102464
"69" 1.92664701425942 3.65073468661484
"70" 3.20842903183368 4.28911938351671
"71" 3.45282376102766 4.7958411109052
"72" 3.92947612115537 6.00476773663786
"73" 11.7213015023986 9.3602940162877
"74" 1.87629267818344 4.52747640472848
"75" 6.96662315094025 5.60341797126738
"76" 2.70917871001729 5.48255995861311
"77" 2.97170067727513 4.87016106622345
"78" 7.08528615055927 7.1523167684198
"79" 4.26875803954037 4.94790542507665
"80" 8.26027176681305 5.74082812760894
"81" 3.66577307583508 4.24231369516336
"82" 2.64373693131641 3.82021870996071
"83" 2.37944306977058 4.13450309496668
"84" 3.45418524077802 6.09837357396988
"85" 4.11939636793073 5.53498233286884
"86" 11.4400468200204 6.61161579831846
"87" 3.67429621148174 3.90267805233969
"88" 1.82830884828294 2.04617586284464
"89" 2.27102594225288 5.33747722706227
"90" 5.62214033996754 7.04183183701066
"91" 4.26062123943416 6.25331162784132
"92" 2.90692038121357 5.17358843252095
